CDIddGO;GTIN;DESCRIO;UN.;PR. ATUAL;ESTQ. DISP.;PRE�O EFETIVO;FIG.ICMS/ICMS-ST;FIG.PIS/COFINS;NCM;
100;;ABACATE MANTEIGA KG;KG;18,9;-5,51;5;40;18;08044000;
12441;7896393402681;ABACAXI CALDA GOS TOZZO 820G;UN;23,19;0;0;17;1;20082010;
2376;7896536500168;ABACAXI CALDA SCHRAMM 825G RODELA;UN;9,4;-3;16,1167;17;1;20082010;
6107;7896434920174;ABACAXI CALDA TRIANGULO MINEIRO 820G RODELA;UN;16,99;0;11,49;17;1;20082010;
101;;ABACAXI UND;UN;12,9;-19;9;40;18;08043000;
102;;ABOBRINHA KG;KG;6,49;-12,995;0;40;18;07099300;
5745;7899441526360;ABRACADEIRA SO QUALIDADE NYLON;UN;18,99;0;11,8;17;1;39269090;
6861;7908348202243;ABRACADEIRA STARTTOOLS NYLON 100 UND;UN;13,99;0;0;17;1;39269090;
12298;7506339394603;ABSORVENTE ALWAYS 8 ABSORVENTES;UN;11,29;-1;0;17;1;96190000;
12299;7500435127240;ABSORVENTE ALWAYS 8 ABSORVENTES CONTROL DE OLORES COM ABAS;UN;5,99;-1;0;17;1;96190000;
12300;7500435127271;ABSORVENTE ALWAYS 8 ABSORVENTES CONTROL DE OLORES SEM ABAS;UN;5,59;0;0;17;1;96190000;
3451;7896012880531;ABSORVENTE BIGFRAL PLUS POS PARTO 20 UND;UN;24,99;0;18,11;17;1;96190000;
3380;7891010576509;ABSORVENTE CAREFREE PROTETOR DIARIO 80 UND;UN;26,99;0;0;17;1;96190000;
12301;7891010087807;ABSORVENTE CAREFREE PROTETOR SEM FRAGANCIA DIARIO 15 UND;UN;11,69;0;0;17;1;96190000;
3408;7898095297923;ABSORVENTE COTTON SECA COM ABAS 8 UND;UN;4,99;0;0;17;1;96190000;
5118;7898095297930;ABSORVENTE COTTON SUAVE SEM ABAS 8 UND;UN;4,99;0;0;17;1;96190000;
5759;7896007550463;ABSORVENTE INTIMUS CUIDADO AVANCADO 15 UND;UN;9,99;6;6,48;17;1;96190000;
3416;7896007542864;ABSORVENTE INTIMUS INTERNO MEDIO 16 UND;UN;22,99;0;13,32;17;1;96190000;
3411;7896007541867;ABSORVENTE INTIMUS INTERNO MEDIO 8 UND;UN;14,99;4;7,345;17;1;96190000;
3415;7896007542857;ABSORVENTE INTIMUS INTERNO MINI 16 UND;UN;22,99;0;13,32;17;1;96190000;
3410;7896007541850;ABSORVENTE INTIMUS INTERNO MINI 8 UND;UN;14,99;4;7,345;17;1;96190000;
3417;7896007542871;ABSORVENTE INTIMUS INTERNO SUPER 16 UND;UN;22,99;0;13,32;17;1;96190000;
3412;7896007541874;ABSORVENTE INTIMUS INTERNO SUPER 8 UND;UN;14,99;3;7,345;17;1;96190000;
3420;7896007550814;ABSORVENTE INTIMUS NOITE E DIA EXTRA SUAVE COM ABAS 16 UND;UN;26,99;0;18,122;17;1;96190000;
5076;7896007550883;ABSORVENTE INTIMUS NOTURNO EXTRA SUAVE COM ABAS 16 UND;UN;29,99;4;15,47;17;1;96190000;
5078;7896007550890;ABSORVENTE INTIMUS NOTURNO EXTRA SUAVE COM ABAS 30 UND;UN;27,99;4;18,0675;17;1;96190000;
5117;7896007540662;ABSORVENTE INTIMUS NOTURNO EXTRA SUAVE COM ABAS 8 UND;UN;11,99;-1;7,48;17;1;96190000;
5116;7896007542437;ABSORVENTE INTIMUS NOTURNO SECA COM ABAS 8 UND;UN;11,99;0;4,8958;17;1;96190000;
5077;7896007550906;ABSORVENTE INTIMUS NOTURNO SECO COM ABAS 30 UND;UN;29,99;0;18,335;17;1;96190000;
3386;7896007552924;ABSORVENTE INTIMUS PROTETOR DIARIO 15 UND;UN;8,99;6;6,48;17;1;96190000;
13400;7896007540259;ABSORVENTE INTIMUS PROTETOR DIARIO 15 UND INDICADOR TROCA;UN;9,19;6;6,48;17;1;96190000;
3388;7896007550548;ABSORVENTE INTIMUS PROTETOR DIARIO 40 UND ANTIBACTERIANA;UN;17,5;0;8,5344;17;1;96190000;
3389;7896007542482;ABSORVENTE INTIMUS PROTETOR DIARIO 40 UND CUIDADO;UN;17,5;0;11,5708;17;1;96190000;
7808;7896007552931;ABSORVENTE INTIMUS PROTETOR DIARIO 40 UND INDICADOR TROCA;UN;17,5;0;11,5708;17;1;96190000;
3390;7896007548101;ABSORVENTE INTIMUS PROTETOR DIARIO 40 UND ULTRA FLEXIVEL;UN;17,5;0;0;17;1;96190000;
3424;7896007545094;ABSORVENTE INTIMUS TRIPLA PROTECAO EXTRA SUAVE COM ABAS 16 UND;UN;10,99;4;7,45;17;1;96190000;
3422;7896007544042;ABSORVENTE INTIMUS TRIPLA PROTECAO EXTRA SUAVE COM ABAS 32 UND;UN;21,99;3;14,5067;17;1;96190000;
3425;7896007540617;ABSORVENTE INTIMUS TRIPLA PROTECAO EXTRA SUAVE COM ABAS 8 UND;UN;7,99;9;4,1417;17;1;96190000;
3428;7896007540600;ABSORVENTE INTIMUS TRIPLA PROTECAO EXTRA SUAVE SEM ABAS 8 UND;UN;7,99;-1;3,9108;17;1;96190000;
3423;7896007545100;ABSORVENTE INTIMUS TRIPLA PROTECAO SECA COM ABAS 16 UND;UN;10,99;8;7,49;17;1;96190000;
3421;7896007544059;ABSORVENTE INTIMUS TRIPLA PROTECAO SECA COM ABAS 32 UND;UN;21,99;2;12,74;17;1;96190000;
